ds,ENTRIES_DIFF,EXITS_DIFF,y
2014-06-25,185773.0,157636.0,343409.0
2014-06-26,186943.0,162138.0,349081.0
2014-06-27,178453.0,166734.0,345187.0
2014-06-28,100193.0,90961.0,191154.0
2014-06-29,96409.0,85284.0,181693.0
2014-06-30,183464.0,155165.0,338629.0
2014-07-01,182184.0,157211.0,339395.0
2014-07-02,182278.0,166413.0,348691.0
2014-07-03,166629.0,163410.0,330039.0
2014-07-04,76097.0,72600.0,148697.0
2014-07-05,77655.0,82188.0,159843.0
2014-07-06,91632.0,69453.0,161085.0
2014-07-07,179011.0,146152.0,325163.0
2014-07-08,173945.0,153198.0,327143.0
2014-07-09,181977.0,156890.0,338867.0
2014-07-10,181845.0,159187.0,341032.0
2014-07-11,174806.0,167756.0,342562.0
2014-07-12,98956.0,97028.0,195984.0
2014-07-13,87405.0,71707.0,159112.0
2014-07-14,178707.0,151969.0,330676.0
2014-07-15,184486.0,157996.0,342482.0
2014-07-16,185982.0,157050.0,343032.0
2014-07-17,183644.0,161312.0,344956.0
2014-07-18,175706.0,162461.0,338167.0
2014-07-19,92873.0,87605.0,180478.0
2014-07-20,87319.0,73413.0,160732.0
2014-07-21,179508.0,145811.0,325319.0
2014-07-22,181504.0,153089.0,334593.0
2014-07-23,183857.0,157075.0,340932.0
2014-07-24,182597.0,159329.0,341926.0
2014-07-25,174206.0,161550.0,335756.0
2014-07-26,97147.0,91992.0,189139.0
2014-07-27,88219.0,74300.0,162519.0
2014-07-28,179365.0,145540.0,324905.0
2014-07-29,182046.0,153187.0,335233.0
2014-07-30,184776.0,156591.0,341367.0
2014-07-31,181188.0,158169.0,339357.0
2014-08-01,172166.0,162125.0,334291.0
2014-08-02,89756.0,82146.0,171902.0
2014-08-03,83950.0,71221.0,155171.0
2014-08-04,178149.0,145945.0,324094.0
2014-08-05,178640.0,153385.0,332025.0
2014-08-06,182709.0,154001.0,336710.0
2014-08-07,181335.0,161632.0,342967.0
2014-08-08,174644.0,160949.0,335593.0
2014-08-09,97363.0,89835.0,187198.0
2014-08-10,90562.0,75785.0,166347.0
2014-08-11,173762.0,141281.0,315043.0
2014-08-12,173656.0,150056.0,323712.0
2014-08-13,175257.0,145843.0,321100.0
2014-08-14,173636.0,150050.0,323686.0
2014-08-15,164070.0,152821.0,316891.0
2014-08-16,91502.0,86520.0,178022.0
2014-08-17,87467.0,73077.0,160544.0
2014-08-18,170786.0,138412.0,309198.0
2014-08-19,170619.0,146289.0,316908.0
2014-08-20,171436.0,149419.0,320855.0
2014-08-21,174430.0,150149.0,324579.0
2014-08-22,160546.0,153788.0,314334.0
2014-08-23,91346.0,82502.0,173848.0
2014-08-24,84209.0,72213.0,156422.0
2014-08-25,168288.0,138215.0,306503.0
2014-08-26,166814.0,141203.0,308017.0
2014-08-27,167355.0,144216.0,311571.0
2014-08-28,166773.0,147861.0,314634.0
2014-08-29,155795.0,145675.0,301470.0
2014-08-30,89076.0,83849.0,172925.0
2014-08-31,76816.0,69155.0,145971.0
2014-09-01,87582.0,66374.0,153956.0
2014-09-02,174569.0,144739.0,319308.0
2014-09-03,176012.0,149503.0,325515.0
2014-09-04,178465.0,152837.0,331302.0
2014-09-05,175240.0,157031.0,332271.0
2014-09-06,87654.0,80682.0,168336.0
2014-09-07,80428.0,69800.0,150228.0
2014-09-08,176783.0,145243.0,322026.0
2014-09-09,182011.0,152720.0,334731.0
2014-09-10,181142.0,156362.0,337504.0
2014-09-11,180403.0,151798.0,332201.0
2014-09-12,177326.0,161217.0,338543.0
2014-09-13,93142.0,85117.0,178259.0
2014-09-14,84850.0,70164.0,155014.0
2014-09-15,179357.0,148601.0,327958.0
2014-09-16,198532.0,163895.0,362427.0
2014-09-17,183762.0,156397.0,340159.0
2014-09-18,187633.0,159256.0,346889.0
